=== VTF Upscaler 7.0.0 Log — 2026-02-17 23:34:56 ===

[23:34:56] ⚡ Using cached scan for 736 files (instant)...
[23:34:56] ⊖ Skipped 408 files: 145x already 4096x4096, 34x 4096x2048, 9x mask texture, 3x 2048x4096, 2x 1024x4096
[23:34:56] 🔍 Scan done: 328 to upscale (119.7 MB), 408 skipped | batch size: 200
[23:34:56] 📦 Batch 1/2 (200 files)...
[23:34:57] [GPU] [Split] Pass 1: 194 normal images (tile=1024)
[23:34:57] [GPU] [0 NVIDIA GeForce RTX 4080 SUPER]  queueC=2[8]  queueT=1[2]
[23:34:57] [GPU] [0 NVIDIA GeForce RTX 4080 SUPER]  fp16-p/s/u/a=1/1/1/1  int8-p/s/u/a=1/1/1/1  bf16-p/s=1/1
[23:34:57] [GPU] [0 NVIDIA GeForce RTX 4080 SUPER]  subgroup=32(32~32)  ops=1/1/1/1/1/1/1/1/1/1
[23:34:57] [GPU] [0 NVIDIA GeForce RTX 4080 SUPER]  fp16-cm=16x16x16/16x8x16/16x8x8  int8-cm=16x16x32/16x8x32  bf16-cm=16x16x16  fp8-cm=16x16x32
[23:34:57] [GPU] [1 AMD Radeon(TM) Graphics]  queueC=1[2]  queueT=2[1]
[23:34:57] [GPU] [1 AMD Radeon(TM) Graphics]  fp16-p/s/u/a=1/1/1/1  int8-p/s/u/a=1/1/1/1  bf16-p/s=1/0
[23:34:57] [GPU] [1 AMD Radeon(TM) Graphics]  subgroup=64(32~64)  ops=1/1/1/1/1/1/1/1/0/0
[23:34:57] [GPU] [1 AMD Radeon(TM) Graphics]  fp16-cm=0  int8-cm=0  bf16-cm=0  fp8-cm=0
[23:34:58] [GPU] R:\_batch_NORMAL/0000.bmp -> G:\_vtf_scratch\vtf_out_1_1771371296\output/0000.png done
[23:34:58] [GPU] R:\_batch_NORMAL/0001.bmp -> G:\_vtf_scratch\vtf_out_1_1771371296\output/0001.png done
